ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"34.64.4.65","elite","AS139070","KR","Google Asia Pacific Pte. Ltd.","288","Google LLC","80","socks5","4205","1","2023-05-11T04:29:43.066Z","100","1505","1505"
"124.122.137.150","elite","AS17552","TH","True Internet Co., Ltd.","286","TRUE BB","4153","socks4","2933","1","2023-05-11T04:29:41.968Z","63","1010","1610"
"202.77.121.178","elite","AS9905","ID","LINKNET","291","N/A","4153","socks4","4397","1","2023-05-11T04:29:41.967Z","99","1557","1568"
"95.140.124.217","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","78","Orion Telekom Network","1080","socks4","1687","1","2023-05-11T04:29:41.967Z","100","1542","1543"
"181.111.175.234","elite","AS7303","AR","Telecom Argentina S.A","299","Providers S.A","4153","socks4","995","1","2023-05-11T04:29:41.968Z","99","1615","1628"
"50.47.75.217","elite","AS20055","US","Wholesail networks LLC","193","Ziply Fiber","5678","socks4","4395","79","2023-05-11T04:29:41.966Z","95","1544","1628"
"36.91.68.150","anonymous","AS7713","ID","PT. Telekomunikasi Indonesia","287","Telekomunikasi Indonesia","8080","http","5000","5410","2023-05-11T04:29:41.969Z","76","1177","1548"
"103.210.29.193","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","189","R G Technosolutions PVT LTD","31433","socks4","2600","1","2023-05-11T04:29:40.461Z","99","1516","1526"
"104.17.248.164","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3897","1","2023-05-11T04:29:40.568Z","100","1553","1553"
"49.232.115.186","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","159","Tencent cloud computing (Beijing) Co., Ltd.","3829","socks4","5101","1","2023-05-11T04:29:40.462Z","96","1457","1513"
"89.201.192.115","elite","AS34594","HR","OT - Optima Telekom d.d","100","N/A","1080","socks4","5007","84","2023-05-11T04:29:40.659Z","37","587","1574"
"116.62.240.85","elite","AS37963","CN","CNC Group CHINA169 Fujian Province Network","191","Beijing Kuancom Network Technology Co., Ltd.","7890","socks5","3603","1","2023-05-11T04:29:40.462Z","83","1279","1547"
"45.116.114.54","elite","AS58898","IN","Rainbow communications India Pvt Ltd","291","Rainbow Communications India Pvt Ltd","5678","socks4","5088","1","2023-05-11T04:29:40.569Z","100","1608","1616"
"5.2.75.58","elite","AS60404","NL","The Infrastructure Group B.V.","13","TIG","8118","http","5194","5298","2023-05-11T04:29:40.465Z","100","1509","1513"
"84.22.45.175","elite","AS33983","XK","Artmotion Sh.P.K.","95","Artmotion","1080","socks4","4697","2","2023-05-11T04:29:39.059Z","100","1619","1627"
"45.172.108.53","elite","AS265741","AR","GPS SANJUAN SRL.","291","N/A","9991","socks4","5084","1","2023-05-11T04:29:39.060Z","75","1136","1522"
"103.214.112.79","elite","AS136052","ID","PT Cloud Hosting Indonesia","210","PT Denbe Anugerah Solusindo","32323","socks5","4986","2","2023-05-11T04:29:39.062Z","99","1494","1511"
"213.251.238.26","anonymous","AS29420","RU","NLine-Kiev","99","Enlain LLC","8080","http","4990","3814","2023-05-11T04:29:39.066Z","100","1506","1512"
"172.67.181.11","elite","AS13335","CA","Cloudflare, Inc.","79","Cloudflare, Inc.","80","socks4","4604","1","2023-05-11T04:29:39.058Z","100","1549","1549"
"188.93.64.242","elite","AS47626","RU","Timer, LLC","86","Timer, LLC","4153","socks4","5101","83","2023-05-11T04:29:38.868Z","100","1625","1628"
"201.220.140.6","elite","AS27884","HN","Cablecolor S.A.","186","Globalnet.hn","30575","socks4","5095","1","2023-05-11T04:29:38.869Z","91","1490","1629"
"218.86.60.18","elite","AS4134","CN","Chinanet","204","Putian No.24 Middle School","4145","socks4","4094","1","2023-05-11T04:29:38.869Z","97","1550","1593"
"211.201.161.125","elite","AS9318","KR","SK Broadband Co Ltd","298","broadNnet","1080","socks4","5007","1","2023-05-11T04:29:37.454Z","100","1525","1529"
"177.55.247.181","elite","AS262532","BR","VAS Freitas Servicos de Internet Ltda","166","NET ONDA SERVICOS DE INTERNET LTDA","5678","socks4","4814","1","2023-05-11T04:29:35.667Z","96","1562","1629"
"106.14.148.126","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","183","Aliyun Computing Co., LTD","1080","socks5","4893","1","2023-05-11T04:29:35.664Z","99","1551","1569"
"189.195.176.99","elite","AS13999","MX","Mega Cable, S.A. de C.V.","198","Mega Cable, S.A. de C.V","5678","socks4","4896","1","2023-05-11T04:29:35.668Z","97","1587","1629"
"109.110.35.210","elite","AS196949","RU","Podryad Nets","182","N/A","9090","http","4602","3196","2023-05-11T04:29:35.666Z","100","1505","1512"
"110.78.148.125","elite","AS131090","TH","CAT-BB","201","N/A","4145","socks4","5003","1","2023-05-11T04:29:35.664Z","87","1387","1590"
"103.47.93.220","elite","AS134058","IN","Broban Internet Services Pvt.ltd","191","Broban  PVT Ltd.","1080","socks4","5106","1","2023-05-11T04:29:35.667Z","99","1602","1614"
"41.215.82.214","elite","AS15808","KE","AccessKenya Group","294","AccessKenya Group Ltd","4673","socks4","2201","1","2023-05-11T04:29:35.667Z","51","831","1629"
"83.168.84.86","elite","AS31304","PL","ESPOL-FH","83","N/A","4153","socks4","5091","1","2023-05-11T04:29:35.667Z","99","1613","1628"
"91.189.177.188","anonymous","AS34989","NO","ServeTheWorld","36","STW","3128","http","4900","4599","2023-05-11T04:29:34.059Z","100","1508","1509"
"189.50.111.105","elite","AS28668","BR","Silva & Silveira Provedor de Internet Ltda","208","Silva & Silveira Provedor de Internet Ltda","3629","socks4","5097","1","2023-05-11T04:29:33.956Z","96","1560","1622"
"103.205.128.7","elite","AS134850","IN","WAY 2 INTERNET PRIVATE LIMITED","116","WAY 2 Internet Private Limited","4145","socks4","4896","1","2023-05-11T04:29:33.461Z","99","1614","1627"
"200.85.183.38","elite","AS28009","AR","Davitel S.A.","293","Davitel S.A","4145","socks4","4993","1","2023-05-11T04:29:33.957Z","100","1624","1629"
